2024-08-13 06:14:08 - Opened short position at 58712.0, TP: 58648.49866666667, SL: 59320.0110255719
2024-08-13 06:14:09 - Opened short position at 58715.3, TP: 58651.79646666667, SL: 59323.3110255719
2024-08-13 06:14:10 - Opened short position at 58715.3, TP: 58651.79646666667, SL: 59323.3110255719
2024-08-13 06:14:10 - Opened short position at 58711.1, TP: 58647.599266666664, SL: 59319.111025571896
2024-08-13 06:14:11 - Opened short position at 58711.1, TP: 58647.599266666664, SL: 59319.111025571896
2024-08-13 06:14:12 - Opened short position at 58711.1, TP: 58647.599266666664, SL: 59319.111025571896
2024-08-13 06:14:12 - Opened short position at 58711.2, TP: 58647.699199999995, SL: 59319.211025571894
2024-08-13 06:14:13 - Opened short position at 58711.1, TP: 58647.599266666664, SL: 59319.111025571896
2024-08-13 06:14:14 - Opened short position at 58711.1, TP: 58647.599266666664, SL: 59319.111025571896
2024-08-13 06:14:15 - Opened short position at 58711.1, TP: 58647.599266666664, SL: 59319.111025571896
2024-08-13 06:14:15 - Opened short position at 58711.2, TP: 58647.699199999995, SL: 59319.211025571894
2024-08-13 06:14:16 - Opened short position at 58711.1, TP: 58647.599266666664, SL: 59319.111025571896
2024-08-13 06:14:17 - Opened short position at 58711.1, TP: 58647.599266666664, SL: 59319.111025571896
2024-08-13 06:14:17 - Opened short position at 58711.1, TP: 58647.599266666664, SL: 59319.111025571896
2024-08-13 06:14:18 - Opened short position at 58711.2, TP: 58647.699199999995, SL: 59319.211025571894
2024-08-13 06:14:19 - Opened short position at 58711.2, TP: 58647.699199999995, SL: 59319.211025571894
2024-08-13 06:14:19 - Opened short position at 58711.9, TP: 58648.398733333335, SL: 59319.9110255719
2024-08-13 06:14:20 - Opened short position at 58711.9, TP: 58648.398733333335, SL: 59319.9110255719
2024-08-13 06:14:20 - Opened short position at 58715.0, TP: 58651.496666666666, SL: 59323.0110255719
2024-08-13 06:14:21 - Opened short position at 58715.0, TP: 58651.496666666666, SL: 59323.0110255719
2024-08-13 06:14:22 - Opened short position at 58715.0, TP: 58651.496666666666, SL: 59323.0110255719
2024-08-13 06:14:22 - Opened short position at 58714.9, TP: 58651.396733333335, SL: 59322.9110255719
2024-08-13 06:14:23 - Opened short position at 58715.0, TP: 58651.496666666666, SL: 59323.0110255719
2024-08-13 06:14:24 - Opened short position at 58715.5, TP: 58651.996333333336, SL: 59323.5110255719
2024-08-13 06:14:24 - Opened short position at 58715.6, TP: 58652.09626666667, SL: 59323.611025571896
2024-08-13 06:14:25 - Opened short position at 58715.5, TP: 58651.996333333336, SL: 59323.5110255719
2024-08-13 06:14:26 - Opened short position at 58715.6, TP: 58652.09626666667, SL: 59323.611025571896
2024-08-13 06:14:26 - Opened short position at 58715.6, TP: 58652.09626666667, SL: 59323.611025571896
2024-08-13 06:14:27 - Opened short position at 58715.6, TP: 58652.09626666667, SL: 59323.611025571896
2024-08-13 06:14:28 - Opened short position at 58715.6, TP: 58652.09626666667, SL: 59323.611025571896
2024-08-13 06:14:28 - Opened short position at 58715.6, TP: 58652.09626666667, SL: 59323.611025571896
2024-08-13 06:14:29 - Opened short position at 58715.5, TP: 58651.996333333336, SL: 59323.5110255719
2024-08-13 06:14:30 - Opened short position at 58711.2, TP: 58647.699199999995, SL: 59319.211025571894
2024-08-13 06:14:30 - Opened short position at 58711.2, TP: 58647.699199999995, SL: 59319.211025571894
2024-08-13 06:14:31 - Opened short position at 58711.2, TP: 58647.699199999995, SL: 59319.211025571894
2024-08-13 06:14:32 - Opened short position at 58718.4, TP: 58654.8944, SL: 59326.4110255719
2024-08-13 06:14:32 - Opened short position at 58734.5, TP: 58670.98366666667, SL: 59342.5110255719
2024-08-13 06:14:33 - Opened short position at 58744.2, TP: 58680.6772, SL: 59352.211025571894
2024-08-13 06:14:34 - Opened short position at 58744.2, TP: 58680.6772, SL: 59352.211025571894
2024-08-13 06:14:35 - Opened short position at 58737.5, TP: 58673.98166666667, SL: 59345.5110255719
